"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-01-01",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"17",",,0","-3",",,0","-2",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-01-02",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"14",",,0","-2",",,0","12",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-01-03",,,,,,,"0.10",",,0,0800","0.0","P,,0,",,,,,"35",",,0","12",",,0",,,,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-01-04",,,,,,,"0.70",",,0,0800","0.0","P,,0,",,,,,"42",",,0","28",",,0","29",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-01-05",,,,,,,"0.08",",,0,0800","1.5",",,0,",,,,,"34",",,0","16",",,0","18",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-01-06",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"28",",,0","12",",,0","15",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-01-07",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"22",",,0","10",",,0","13",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-01-08",,,,,,,"0.04",",,0,0800","1.0",",,0,",,,,,"22",",,0","3",",,0","5",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-01-09",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"24",",,0","5",",,0","14",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-01-10",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"23",",,0","10",",,0","11",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-01-11",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"23",",,0","11",",,0","14",",,0,0800",,,,
